ASPS;ErroreCollisioni;1;prg 15 girare la chiavetta e ripristinare il sistema
ACS;MicroPresenzaPezzoAttivo;2;Foglio presente su ventose. Per eseguire l'operazione richiesta e' necessario che non ci sia del materiale sotto le ventose. Effettuare un ripristino sistema e rieseguire il ciclo. Se il problema persiste verificare il funzionamento dei sensori di presenza foglio.
ACS;InterventoTermicaMotore;3;E' intervenuto l' interruttore automatico di protezione motore nel quadro elettrico. Riarmare l'interruttore. Se continua a scattare contattare Assistenza Antil
LASER;TavolaNonInPosizione;4;La tavola del laser su cui si sta agendo non ? in posizione. Verificare posizione tavola. Effettuare un ripristino sistema e rieseguire il ciclo.
ASPS;ASPS azzeramentoNonSicuro;5;Verificare corsa verticale ASPS libera e azzerare mem.9
LASER;IncongruenzaMaterialeSuLaser;6;Per eseguire l'operazione richiesta e' necessario che non ci sia del materiale sulla tavola del laser. Lo stato attuale della tavola esterna del laser non ? vuoto. Ripristinare il sistema e verificare lo stato tavole sul laser e sull'ACS.
ACS;MicroPresenzaPezzoNonAttivo;7;Foglio assente su ventose. Per eseguire l'operazione richiesta e' necessario che ci sia del materiale sotto le ventose. Effettuare un ripristino sistema e rieseguire il ciclo. Se il problema persiste verificare il funzionamento dei sensori di presenza foglio.
ACS;Err Sinc Database Cass Scar;8;Prog in automatico, cassetto di scarico fisicamente assente ma presente nel database. Allineare il database alla realt? nell'ATM.
ACS-2F;Incongruenza sensori ribalta cassetto;9;I sensori non sono allineati con la posizione della ribaltina
;CassettoDiCaricoNonPresente;10;
Inutili;err.11;11;
Inutili;err.12;12;
Inutili;err.13;13;
Inutili;err.14;14;
Inutili;err.15;15;
Inutili;err.16;16;
Inutili;err.17;17;
Inutili;err.18;18;
ACS;CassScarPresente;19;Cassetto di scarico presente su Carro ventose - Non si puo' portare un'altro
ACS;CarroNonInPosizDiCarico;20;Per eseguire l'operazione richiesta e' necessario che il carro ventose sia nella postazione di carico. Effettuare un ripristino sistema e rieseguire il ciclo. In caso il problema non si risolva, contattare il Servizio Assistenza Antil
Inutili;err.25;25;
ACS;FotocellulaUnload;22;La fotocellula di unload lamiera poste sotto il carro ventose ? oscurata. Verificare l'allineamento e l'eventuale presenza di ostacoli. Effettuare un ripristino sistema e rieseguire il ciclo
